기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
Cummins,CMI,2020Q4,2020-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),13635000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/
Cummins,CMI,2020Q4,2020-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8989000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/
Cummins,CMI,2020Q4,2020-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),8062000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/
Cummins,CMI,2021Q2,2021-07-04,분기말 자산총계,재작성 검증 실패(원 공시 유지),22608000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/
Cummins,CMI,2021Q2,2021-07-04,분기말 부채총계,재작성 검증 실패(원 공시 유지),13815000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/
Cummins,CMI,2021Q2,2021-07-04,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8793000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/
Cummins,CMI,2021Q2,2021-07-04,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),7866000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/
Cummins,CMI,2021Q3,2021-10-03,분기말 자산총계,재작성 검증 실패(원 공시 유지),23063000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/
Cummins,CMI,2021Q3,2021-10-03,분기말 부채총계,재작성 검증 실패(원 공시 유지),14060000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/
Cummins,CMI,2021Q3,2021-10-03,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9003000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/
